項次,名稱,最高補助金額,最低使用年限,評估類別,評估地點,備註,核可ICF
51,移位板,2000,3,甲、丁類,僅限輔具中心,,
52,人力移位吊帶,4000,3,甲、丁類,僅限輔具中心,,
53,移位滑布,1000,5,甲、丁類,僅限輔具中心,,
54,躺式移位滑墊,6000,5,甲、丁類,僅限輔具中心,,
55,移位機-人力型,30000,10,甲、丁類,僅限輔具中心,,
56,移位機-電動型,60000,10,甲、丁類,僅限輔具中心,,
57,移位機吊帶,6000,3,不需評估,免評,,
58,視障用白手杖或杖頭,700,2,不需評估,免評,,補助對象：第二類：【b210】、【s220】或【01】。(視覺障礙者)
59,收錄音機或隨身聽,1000,3,不需評估,免評,,補助對象：第二類：【b210】、【s220】或【01】。(視覺障礙者)
60,聽書機,3500,5,不需評估,免評,,補助對象：第二類：【b210】、【s220】或【01】。(視覺障礙者)
61,視障用點字手錶,3000,3,不需評估,免評,,補助對象：第二類：【b210】、【s220】或【01】。(視覺障礙者)
62,視障用語音報時器,300,3,不需評估,免評,,補助對象：第二類：【b210】、【s220】或【01】。(視覺障礙者)
63,特製眼鏡(含特製隱形眼鏡),6000,3,戊類,僅限輔具中心,"需診斷證明書並載明本項輔具需求&屈光矯正之數據，
針對屈光矯正、斜視矯正、放大、遠用及近用、延伸視野、防眩光、增強對比、色覺改善等功能需另製、加工、修改或染色者",第二類：【b210】、【s220】或【01】。(視覺障礙者)
64,角膜疾病類隱形眼鏡,10000,3,依醫師診斷,依醫師診斷,"需診斷證明書並載明本項輔具需求，
限具眼科醫師診斷之角膜疾病(如圓錐角膜、邊緣性角膜、暴露性角膜炎等)、意外傷害(如角膜化學灼傷)","(一)第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)申請角膜疾病類隱形眼鏡(項次64)，限具眼科醫師診斷之角膜疾病(如圓錐角膜、邊緣性角膜、暴露性角膜炎等)、意外傷害(如角膜化學灼傷等)。"
65,包覆式濾光眼鏡,4000,2,甲、丁、戊類,僅限輔具中心,"需診斷證明書並載明本項輔具需求，
限光覺勢力以上之視覺障礙者申請，鏡框於上緣及側緣均應有遮擋光線之包覆設計、有濾光效果、可阻隔藍光及紫外光","(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)申請包覆式濾光眼鏡(項次65)，限光覺視力以上之視覺障礙者。"
66,望遠鏡,3000,4,甲、丁、戊類,僅限輔具中心,"需診斷證明書並載明本項輔具需求，
同時載明倍率及口徑(或片徑)、放大倍率在2倍以上、300公克以下、最短對焦距離為100公分以下",(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
67,放大鏡-低倍率,400,3,不需評估,免評,"鏡片規格必須同時載明倍率及屈光度、倍率2.5倍以上及屈光度10以上;
菲涅爾透鏡非屬本項補助(Fresnel Lens)",(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
68,放大鏡-高倍率,2500,3,甲、丁、戊類,僅限輔具中心,"需診斷證明書並載明本項輔具需求;
菲涅爾透鏡非屬本項補助(Fresnel Lens)",(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
69,點字板,1000,10,不需評估,免評,,(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
70,點字機(打字機),32000,7,甲、丁、戊類,僅限輔具中心,具6點鍵，空白、倒退、換行，可調整邊界,(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
71,點字觸摸顯示器-20方以下,50000,4,甲、丁、戊類,僅限輔具中心,14方以上、20方以下且8點顯示，可支援1種以上視窗版中文視障用螢幕報讀軟體，且總重量2公斤以下,"(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)5歲以上。
(三)具點字辨識能力。"
72,點字觸摸顯示器-20方以上,70000,4,甲、丁、戊類,僅限輔具中心,20方以上且8點顯示，可支援1種以上視窗版中英文視障用螢幕報讀軟體，且總重量2公斤以下,"(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)5歲以上。
(三)具點字辨識能力。"
73,可攜式擴視機,40000,4,甲、丁、戊類,僅限輔具中心,"無需於特定平台(桌面) 上裝載設備使用，並可隨時便利攜帶外出使用，且產品本身已具備螢幕及鏡頭等設備使用，應符合下列所有規範：
1.螢幕尺寸4.3英吋以上。
2.色彩模式3組(黑底白字、白底黑字、彩色模式)以上。
3.支援放大及縮小功能且放大倍率為6倍以上。
4.凍結或儲存畫面。","(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)申請者限指數視力(CF-15公分)以上者(依診斷證明書或輔具評估報告書認定)。"
74,桌上型擴視機,75000,6,甲、丁、戊類,僅限輔具中心,"需於平台(桌面)上裝載設備以供操作，應符合下列所有規範：
1.色彩模式5組(須含黑底白字、白底黑字、彩色模式)以上。
2.支援放大及縮小功能且放大倍率為40倍以上。
3.可自動對焦及可切換自動手動對焦。
4.具備書寫空間或閱讀平台距離鏡頭20公分以上。5.提供經評估所需其他功能配備(含亮度調整、對比調整、望遠、凍結或儲存、托盤、導引線或遮蔽視窗、定位指示、焦距鎖定、可旋轉鏡頭、一體成型且螢幕角度可調整、操作時語音提示功能、光學辨識將文字重新編排或語音輸出等)達任6項以上功能。
","(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)申請者限指數視力(CF-15公分)以上者(依診斷證明書或輔具評估報告書認定)。"
75,視障用螢幕報讀軟體,12000,4,甲、丁、戊類,僅限輔具中心,規格或功能規範：具備中英文語音報讀功能、支援圖形標記功能、完整支援office 系列軟體、具備閱讀PDF 檔案功能、可支援點字觸摸顯示器。,"(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)5歲以上。
(三)具電腦操作能力。"
76,視障用螢幕放大軟體,18000,4,甲、丁、戊類,僅限輔具中心,"規格或功能規範：應符合下列所有規範：
(一)至少6倍以上之螢幕放大功能。
(二)滑鼠指標及文字編輯游標具多種放大提示調整之選擇。
(三)螢幕顯示色相可作多模式切換，含高反差、對比色、十字導引、平滑字形等。
(四)放大顯示視窗可選擇分割視窗、全螢幕顯示或區塊顯示。","(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)5歲以上。
(三)限指數視力(CF-15公分)以上者(依診斷證明書或輔具評估報告書認定)。
(四)具電腦操作能力。"
77,語音手機-簡易型,2000,3,不需評估,免評,具各層選單之語音報讀、文字簡訊播報、開關機聲音或震動提示、語音播報通訊錄內容及來電號碼等功能。,第二類：【b210】、【s220】或【01】。(視覺障礙者)
78,語音手機-智慧型或平板,8000,3,甲、丁、戊類,僅限輔具中心,應含語音手機-簡易型(項次77)所有規格，且透過觸控螢幕方式執行手機所有功能；平板須具文字調整與放大功能、相機功能、語音報讀，且透過觸控螢幕方式執行所有功能。,"第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)申請語音手機-智慧型或平板(項次78)者具操作語音報讀的觸控螢幕之能力。"
79,傳真機,4000,3,不需評估,,,"(一)第一類：【b16700】、【b16710】、【b16701】、【b16711】或【04】；
第三類：【b310】、【b320】、【b330】或【04】。(語言機能障礙者)
(二) 第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)"
80,行動手機-簡易型,2000,3,不需評估,,,"(一)第一類：【b16700】、【b16710】、【b16701】、【b16711】或【04】；
第三類：【b310】、【b320】、【b330】或【04】。(語言機能障礙者)
(二) 第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)"
81,行動手機-具雙向即時影像傳輸功能型,8000,3,甲、乙、丙、丁類,,"申請行動手機-具雙向即時影像傳輸功能型(項次81)者應符合上述障別之一，且具讀唇辨讀或手語表達之能力，行動手機-具雙向即時影像傳輸功能型(項次81)於手機顯示幕同一面附有攝影鏡頭，並能雙向提供即時影像傳輸
功能。","(一)第一類：【b16700】、【b16710】、【b16701】、【b16711】或【04】；
第三類：【b310】、【b320】、【b330】或【04】。(語言機能障礙者)
(二) 第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
(三)申請行動手機-具雙向即時影像傳輸功能型(項次81)者應符合上述障別之一，且具讀唇辨讀或手語表達之能力。"
82,助聽器-簡易型,2000,4,丙類,,採類比方式或數位方式處理聲音訊號之助聽器。,"(一) 第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
(二) 第二類：【b210】、【s220】或【01】中度以上(中度以上視覺障礙者)，且聽力損失優耳大於40dBHL。"
83,助聽器-中階型,10000,4,丙類,,"採數位方式處理聲音訊號之助聽器，並符合下列所有規範：
1.具6個以上可單獨調整壓縮參數(壓縮閾值、壓縮比)之壓縮頻道，或採用同等效能之時域(timedomain)數位訊號處理技術。
2.多聆聽程式。
3. 具備至少1 種自適應噪音消除(adaptive noise reduction) 功能。
4.配戴時可自動消除迴饋音。","(一) 第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
(二) 第二類：【b210】、【s220】或【01】中度以上(中度以上視覺障礙者)，且聽力損失優耳大於40dBHL。"
84,助聽器-進階型,20000,4,丙類,,"應符合助聽器-中階型(項次83)所有規格並符合下列所有規範：
1.方(指)向性麥克風。
2.具相容於無線傳輸系統。","(一) 第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
(二) 第二類：【b210】、【s220】或【01】中度以上(中度以上視覺障礙者)，且聽力損失優耳大於40dBHL。"
85,助聽器-雙對側傳聲型,30000,4,丙類,,本項2只設備元件為1組，應可搭配操作。1只符合助聽器-進階型(項次84)規格或功能之助聽器配戴於優耳，及另1只為無線收音麥克風設備，配戴於劣耳耳部(含耳掛型、耳內型或耳罩型)。,"(一) 第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
(二) 第二類：【b210】、【s220】或【01】中度以上(中度以上視覺障礙者)，且聽力損失優耳大於40dBHL。"
86,電話擴音器,2000,5,不需評估,,電話之外接擴音器。,補助對象：第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
87,電話閃光震動器,2000,5,不需評估,,"屬於
使用電話之附件，包含來電信息之連接單元和信號轉換器，可搭配原有標準型網路電話或行動網路之電話使用，依來電訊號而以閃光或震動方式提供信號指示。",補助對象：第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
88,門鈴閃光器,2000,5,不需評估,,採用有線或無線訊號傳輸方式之視覺閃光信號指示器，可搭配原有門鈴系統裝設，或同時提供專屬門鈴開關裝置，可兼具聲音或震動信號指示功能。,補助對象：第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
89,無線震動警示器,2000,5,不需評估,,採用無線訊號傳輸方式之震動信號指示器，可兼具視覺或聲音信號指示功能，應包含專屬事件信號發送裝置如按鍵開關或聲音偵測器等。,補助對象：第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
90,火警閃光警示器,2000,5,不需評估,,採用有線或無線訊號傳輸方式之環境警示輔具，以閃光方式呈現火災警報，可兼具聲音或震動警示功能。,補助對象：第二類：【b230】、【s260】或【02】。(聽覺機能障礙者)
91,個人衛星定位器 (項次 91),9000,2,甲、丁類,,"規格或功能規範：應符合下列所有規範或功能之2年服務保用及產品保固：
(一)AGPS 之衛星定位。
(二)地點查詢服務。
(三)電池待機超過72小時。
(四)緊急求援功能。",
92,人工講話器-氣動式,2000,1,不需評估,,,補助對象：第三類：【b310】、【b320】、【b330】、【s320】、【s330】、【s340】或【04】。(聲音機能或語言機能障礙者)
93,人工講話器-電動式,20000,5,乙類,輔具中心評估,申請人工講話器-電動式(項次93)限經醫師開立註明全喉切除或嚴重呼吸發聲功能障礙，無法透過手術重建改善發聲功能之診斷證明書。,補助對象：第三類：【b310】、【b320】、【b330】、【s320】、【s330】、【s340】或【04】。(聲音機能或語言機能障礙者)
94,溝通輔具-無語音輸出之圖卡或設備,5000,4,乙類,,"本項屬無語音輸出之圖卡，應包括至少1,000個溝通符號；或無語音輸出之設備，應包括至少150個溝通符號(如縮小物或部分物品、彩色照片、圖片)及所需之操作硬體。
尚有其他規定，可參照基準表內容",
95,溝通輔具-低階固定版面型語音溝通器,7000,4,乙類,,"應包括至少200個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，並具重複錄音或記憶溝通訊息及放音功能。
尚有其他規定，可參照基準表內容",
96,溝通輔具-高階固定版面型語音溝通器,10000,4,乙類,,"應包括至少500個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，至少可錄製160句語音，並具重複錄音或記憶溝通訊息及放音功能。
尚有其他規定，可參照基準表內容",
97,溝通輔具-具掃描功能固定版面型語音溝通器,20000,4,乙類,,"應包括至少500個溝通符號及所需之操作硬體，除具重複錄音或記憶溝通訊息及放音功能外，另須提供至少1種掃描功能及外接的特殊開關。
尚有其他規定，可參照基準表內容",
98,溝通輔具-電腦使用語音溝通軟體,20000,4,乙類,,"可安裝於電腦，支援Windows 或Mac OS 系統，軟體應具重複錄放音及動態版面顯示功能，能提供情境溝通、語句溝通及文字溝通模式， 並提供至少1,000個溝通符號，供溝通版面設計之用，軟體須具掃描功能。
尚有其他規定，可參照基準表內容",
99,溝通輔具-平板使用語音溝通軟體,10000,4,乙類,,"可安裝於平板，軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少1,000個溝通符號，供溝通版面設計之用，軟體須具掃描功能。
尚有其他規定，可參照基準表內容",
100,溝通輔具-動態版面型語音溝通器,20000,4,乙類,,"本項屬液晶觸控專用型語音溝通器(平板)，其軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少1,000個溝通符號，供溝通版面設計之用，軟體須具掃描功能。
尚有其他規定，可參照基準表內容",
101,溝通或電腦輔具用特殊開關,3000,5,甲、乙、丁類,,,"( 一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)溝通或電腦輔具使用者。"
102,電腦輔具用滑鼠鍵盤模擬器,3000,5,甲、乙、丁類,,,"(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750 】、【s760】或【05】。(肢體障礙者)
(二)無法操作一般滑鼠或鍵盤者。"
103,電腦輔具-替代性滑鼠或鍵盤介面,8000,5,甲、乙、丁類,,,"補助對象：應符合下列所有條件：
( 一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)無法操作一般滑鼠或鍵盤者。"
104,電腦輔具-嘴控滑鼠,30000,5,甲、乙、丁類,,,(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且因四肢癱瘓以致無法操作一般滑鼠功能者。
